customer_name,customer_id,order_ref,product_group,product_name,tech,status,system,process_step,circuit_id,reg_date,plan_done_date,clean_order_date,agreed_date,agreed_installation_date,FM_date,finalize_access_date,latest_agreed_date,order_counter,last_update_timestamp
DUSJHJØRNET AS,246958,350774_lsd,Internet,Internett Bedrift VDSL2 opptil 25/5 Mbps (OA),DSL,IN_PROGRESS,LSD,finalize access,32674487,24.08.2015,,,11.11.2015,02.11.2015,,,11.11.2015,1,31.05.2016 08:23:10
LUX NORGE AS,267940,5502484_lsd,Internet,Internett Bedrift ADSL 2+ (oa),DSL,IN_PROGRESS,LSD,finalize access,32658189,04.01.2016,,,29.01.2016,20.01.2016,,,29.01.2016,1,31.05.2016 08:23:10
FOLLESTAD TREND AS,11107006,368544_lsd,Internet,Internett Bedrift ADSL 2+ opptil 12000/700 kbps (ws),DSL,IN_PROGRESS,LSD,finalize access,63413677,20.01.2016,,,02.03.2016,22.02.2016,,,02.03.2016,1,31.05.2016 08:23:10
De 3 stuer AS,244864,369484_lsd,Internet,Internett Bedrift VDSL2 opptil 30/10 Mbps (ws),DSL,IN_PROGRESS,LSD,finalize access,63495096,01.02.2016,,04.02.2016,02.03.2016,02.06.2016,,,13.06.2016,1,31.05.2016 08:23:10
SR DISPLAY AS,271301,395941_lsd,Internet,Internett Bedrift VDSL2 opptil 40/10 Mbps (OA),DSL,COMPLETED,LSD,,32746549,15.03.2016,25.05.2016,27.04.2016,19.04.2016,25.05.2016,26.05.2016,26.05.2016,03.06.2016,1,31.05.2016 08:23:10
Læringsverkstedet AS,131,397976_lsd,Internet,Internett Bedrift SHDSL 8 Mbps (ws),DSL,IN_PROGRESS,LSD,finalize access,63457064,31.03.2016,,,10.05.2016,01.06.2016,,,10.06.2016,1,31.05.2016 08:23:10
DGC Systems Access,201790,5503407_lsd,Ethernet,Ethernet Access 2048 Pluss,DSL,COMPLETED,LSD,,32748543,01.04.2016,20.05.2016,05.04.2016,04.05.2016,20.05.2016,23.05.2016,23.05.2016,31.05.2016,1,31.05.2016 08:23:10
Læringsverkstedet AS,131,398261_lsd,Internet,Internett Bedrift SHDSL 8 Mbps (ws),DSL,IN_PROGRESS,LSD,plan & design,63455931,04.04.2016,,,10.05.2016,13.05.2016,,,25.05.2016,1,31.05.2016 08:23:10
Kvantel AS,201839,5503449_lsd,Ethernet,Ethernet Access 2048 Pluss,DSL,COMPLETED,LSD,,32748364,07.04.2016,13.05.2016,13.05.2016,25.05.2016,13.05.2016,23.05.2016,23.05.2016,25.05.2016,1,31.05.2016 08:23:10
NEW AGRA AS,273187,400253_lsd,Internet,Internett Bedrift VDSL2 opptil 40/10 Mbps (OA),DSL,COMPLETED,LSD,,32745101,20.04.2016,23.05.2016,25.04.2016,01.06.2016,23.05.2016,24.05.2016,24.05.2016,01.06.2016,1,31.05.2016 08:23:10
Kvantel AS,201839,5503592_lsd,Ethernet,Ethernet Access 2048 Pluss,DSL,COMPLETED,LSD,,32747098,20.04.2016,20.05.2016,20.05.2016,01.06.2016,23.05.2016,23.05.2016,23.05.2016,01.06.2016,1,31.05.2016 08:23:10
